Date,USD/CNY Close,EUR/USD Close,USD/JPY Close,BCHAIN/TOTBC,BCHAIN/MKTCP,BCHAIN/TRFEE,BCHAIN/TRFUS,BCHAIN/NTRAN,BCHAIN/NTRAT,BCHAIN/NTREP,BCHAIN/NADDU,BCHAIN/NTRBL,BCHAIN/TOUTV,BCHAIN/ETRAV,BCHAIN/ETRVU,BCHAIN/TRVOU,BCHAIN/MKPRU,BCHAIN/CPTRV,BCHAIN/CPTRA,BCHAIN/HRATE,BCHAIN/MIREV,BCHAIN/ATRCT,BCHAIN/BLCHS,BCHAIN/AVBLS,BCHAIN/MWTRV,BCHAIN/MWNUS,BCHAIN/MWNTD,BCHAIN/DIFF,gold_price,sp_closing_price,vix_closing_price
2018-03-21,6.3262,1.2334,106.07,16930512.5,152153641094.0,31.3790795,282002.16621399997,195168.0,305808537.0,187021.0,423962.0,1536.75590551,1115427.34148,115375.495759,1036873619.32,968836842.5810001,8986.94833333,1.40313943516,74.5449184568,21859737.3155,14275767.4275,9.316666666669999,161577.105383,0.793882708661,49155.562255699995,23754157.0,45750.0,3462542391190.0,1316.35,2711.929932,17.860001
2018-03-22,6.3375,1.2306,105.59,16932412.5,151507050388.0,31.0252744,277606.50243,194846.0,306003383.0,186851.0,424455.0,1281.88157895,931832.735856,115928.986196,1037303972.66,770717053.1910001,8947.75333333,1.66569668016,88.6768927038,26162835.2123,17009679.0867,7.86666666667,161678.986299,0.670269184211,62263.446807700006,23776420.0,45291.0,3462542391190.0,1328.85,2643.689941,23.34
2018-03-23,6.3157,1.2358,104.86,16934200.0,147165112798.0,27.724788500000003,240939.73301999999,185187.0,306188570.0,177713.0,418187.0,1295.01398601,1103657.6849200001,112702.151446,979427716.114,826892556.905,8690.40833333,1.6106389853299998,85.1844061886,24613719.9694,15534104.8958,13.775,161793.074426,0.79781906993,53320.373559199994,23791603.0,43862.0,3462542391190.0,1342.35,2588.26001,24.870001
2018-03-24,6.3157,1.2358,104.86,16935862.5,147118901988.0,26.25767336,228095.857148,179818.0,306368388.0,172416.0,430896.0,1352.01503759,980288.4520379999,110642.21472799999,961129741.3560001,734259108.9039999,8686.82666667,1.52632309243,81.5821841555,22892480.8107,14450536.16,8.98333333333,161903.537267,0.830547676692,35766.4909937,23808826.0,40321.0,3462542391190.0,1342.35,2588.26001,24.870001
2018-03-25,6.3157,1.2358,104.86,16937812.5,146721740014.0,21.76498898,188536.56896600002,157087.0,306525475.0,150932.0,360666.0,1006.96794872,785311.5294390001,69750.8575216,604208316.926,638996171.227,8662.37833333,2.82686845588,108.730667203,26851330.8757,16891637.75,11.275,161996.599379,0.5965520000000001,31076.4960985,23828981.0,35298.0,3462542391190.0,1342.35,2588.26001,24.870001
2018-03-26,6.2734,1.2453,105.27,16939500.0,145972696885.0,20.23147507,174340.622682,135274.0,306660749.0,130110.0,318932.0,1002.02962963,814756.224998,105796.396011,911678930.6910001,497976127.752,8617.29666667,1.61416791068,108.78682339299999,23236728.6425,14541688.125,8.65,162073.383715,0.568772859259,33014.0735468,23840698.0,30027.0,3462542391190.0,1348.4,2658.550049,21.030001
2018-03-27,6.2832,1.2402,105.49,16941375.0,138877740396.0,26.98506764,221211.39625700001,187850.0,306848599.0,179941.0,416731.0,1252.33333333,1678498.6055100001,123720.41440899999,1014204076.94,898113449.04,8197.54833333,1.53732516718,83.0003434722,25818587.3805,15370403.125,12.65,162180.245734,0.71241346,47307.0142885,23866247.0,42390.0,3462542391190.0,1350.65,2612.6201170000004,22.5
2018-03-28,6.2979,1.2308,106.83,16943275.0,133448537838.99997,27.51028124,216676.339551,187065.0,307035664.0,177746.0,414090.0,1230.69078947,1073046.5959,118459.945099,933013627.2889999,706985634.7360001,7876.195,1.62714095438,81.1559983939,26162835.2123,14964770.5,7.516666666669999,162296.252001,0.763199125,63789.059546899996,23881895.0,43411.0,3462542391190.0,1341.05,2605.0,22.870001
2018-03-29,6.2901,1.2304,106.48,16944962.5,134888340586.00003,24.09273355,191787.314297,177521.0,307213185.0,170699.0,395195.0,1314.97037037,1166089.64723,107067.81685399999,852300507.928,526257701.607,7960.38,1.59860617676,76.7510805161,23236728.6425,13433141.25,9.416666666669999,162394.066632,0.724552822222,57170.275021,23898846.0,42188.0,3462542391190.0,1323.9,2640.8701170000004,19.969999
2018-03-30,6.2911,1.2323,106.21,16946862.5,121547642972.0,27.20122872,195094.828724,192411.0,307405596.0,183921.0,428777.0,1265.86184211,846121.875066,146222.172632,1048746364.33,1093751115.33,7172.28,1.3179952082700002,71.8380281207,26162835.2123,13627332.0,11.625,162497.384612,0.679723552632,55913.546872000006,23920539.0,42334.0,3462542391190.0,1323.9,2640.8701170000004,19.969999
